Kernel PCA model with degree 2
      32 features, training accuracy is 0.868545, test accuracy is 0.877700
      64 features, training accuracy is 0.885200, test accuracy is 0.895200
     128 features, training accuracy is 0.891927, test accuracy is 0.898400
     256 features, training accuracy is 0.900582, test accuracy is 0.905800
     512 features, training accuracy is 0.916764, test accuracy is 0.922000
     784 features, training accuracy is 0.924091, test accuracy is 0.926200
    1024 features, training accuracy is 0.925691, test accuracy is 0.927600
    2048 features, training accuracy is 0.928855, test accuracy is 0.929100
    4096 features, training accuracy is 0.928873, test accuracy is 0.929300
    8192 features, training accuracy is 0.930236, test accuracy is 0.930500
   16384 features, training accuracy is 0.931473, test accuracy is 0.931400
Kernel PCA model with degree 3
      32 features, training accuracy is 0.873436, test accuracy is 0.881600
      64 features, training accuracy is 0.890982, test accuracy is 0.899200
     128 features, training accuracy is 0.900182, test accuracy is 0.906200
     256 features, training accuracy is 0.914600, test accuracy is 0.915300
     512 features, training accuracy is 0.929673, test accuracy is 0.931600
     784 features, training accuracy is 0.937418, test accuracy is 0.938500
    1024 features, training accuracy is 0.940436, test accuracy is 0.940300
    2048 features, training accuracy is 0.945327, test accuracy is 0.943600
    4096 features, training accuracy is 0.948164, test accuracy is 0.945400
    8192 features, training accuracy is 0.950309, test accuracy is 0.946600
   16384 features, training accuracy is 0.952145, test accuracy is 0.947300
Kernel PCA model with degree 4
      32 features, training accuracy is 0.877491, test accuracy is 0.884600
      64 features, training accuracy is 0.895145, test accuracy is 0.901300
     128 features, training accuracy is 0.906327, test accuracy is 0.912200
     256 features, training accuracy is 0.924436, test accuracy is 0.925500
     512 features, training accuracy is 0.938600, test accuracy is 0.939100
     784 features, training accuracy is 0.946309, test accuracy is 0.945100
    1024 features, training accuracy is 0.949200, test accuracy is 0.947500
    2048 features, training accuracy is 0.954273, test accuracy is 0.951000
    4096 features, training accuracy is 0.956491, test accuracy is 0.952500
    8192 features, training accuracy is 0.957000, test accuracy is 0.951400
   16384 features, training accuracy is 0.959218, test accuracy is 0.953400
Kernel PCA model with degree 5
